# x_m,y_m,w_tr_right_m,w_tr_left_m
4.3600,2.6750,0.8500,0.8500
4.3600,2.7250,0.8500,0.8500
4.3600,2.7750,0.8500,0.8500
4.3600,2.8250,0.8382,0.8382
4.3600,2.8750,0.8246,0.8246
4.3600,2.9250,0.8139,0.8139
4.3600,2.9750,0.8062,0.8062
4.3600,3.0250,0.8016,0.8016
4.3600,3.0750,0.8000,0.8000
4.3600,3.1250,0.8000,0.8000
4.3600,3.1750,0.8016,0.8016
4.3600,3.2250,0.8062,0.8062
4.3600,3.2750,0.8139,0.8139
4.3600,3.3250,0.8062,0.8062
4.3600,3.3750,0.7906,0.7906
4.3600,3.4250,0.7762,0.7762
4.3600,3.4750,0.7649,0.7649
4.3600,3.5250,0.7566,0.7566
4.3600,3.5750,0.7517,0.7517
4.3600,3.6250,0.7500,0.7500
4.3600,3.6750,0.7500,0.7500
4.3600,3.7250,0.7500,0.7500
4.3600,3.7750,0.7500,0.7500
4.3600,3.8250,0.7500,0.7500
4.3600,3.8750,0.7500,0.7500
4.3600,3.9250,0.7500,0.7500
4.3600,3.9750,0.7500,0.7500
4.3600,4.0250,0.7500,0.7500
4.3600,4.0750,0.7500,0.7500
4.3600,4.1250,0.7500,0.7500
4.3600,4.1750,0.7500,0.7500
4.3600,4.2250,0.7500,0.7500
4.4100,4.2750,0.8000,0.8000
4.4100,4.3250,0.8000,0.8000
4.4100,4.3750,0.8000,0.8000
4.4100,4.4250,0.8000,0.8000
4.4100,4.4750,0.8000,0.8000
4.4100,4.5250,0.7632,0.7632
4.4100,4.5750,0.7211,0.7211
4.4100,4.6250,0.6801,0.6801
4.4100,4.6750,0.6403,0.6403
4.4100,4.7250,0.6021,0.6021
4.4100,4.7750,0.5657,0.5657
4.4600,4.8250,0.4950,0.4950
4.4600,4.8250,0.4950,0.4950
4.4600,4.8750,0.4610,0.4610
4.4600,4.9250,0.4301,0.4301
4.4600,4.9750,0.4031,0.4031
4.5100,5.0250,0.3354,0.3354
4.5600,5.0750,0.2693,0.2693
4.6100,5.1250,0.2062,0.2062
4.6600,5.1250,0.1581,0.1581
4.7100,5.1250,0.1118,0.1118
4.7600,5.1250,0.0707,0.0707
4.8100,5.1250,0.0500,0.0500
4.8600,5.1250,0.0707,0.0707
4.9100,5.1250,0.1118,0.1118
4.9600,5.1750,0.1500,0.1500
5.0100,5.1750,0.2000,0.2000
5.0600,5.1750,0.2500,0.2500
5.1100,5.1750,0.3000,0.3000
5.1600,5.1750,0.3500,0.3500
5.2100,5.1750,0.4000,0.4000
5.2600,5.1750,0.4500,0.4500
5.3100,5.1750,0.5000,0.5000
5.3600,5.1750,0.5500,0.5500
5.4100,5.1750,0.6000,0.6000
5.4600,5.1750,0.6500,0.6500
5.5100,5.1750,0.7000,0.7000
5.5600,5.1750,0.7500,0.7500
5.6100,5.1750,0.8000,0.8000
5.6600,5.1750,0.8500,0.8500
5.7100,5.1750,0.8500,0.8500
5.7600,5.1750,0.8500,0.8500
5.8100,5.1750,0.8500,0.8500
5.8600,5.1750,0.8500,0.8500
5.9100,5.1750,0.8500,0.8500
5.9600,5.1750,0.8500,0.8500
6.0100,5.1250,0.9000,0.9000
6.0600,5.1250,0.9000,0.9000
6.0600,5.1250,0.9000,0.9000
6.1100,5.1250,0.9014,0.9014
6.1600,5.1250,0.9014,0.9014
6.2100,5.1250,0.9000,0.9000
6.2600,5.0750,0.9500,0.9500
6.3100,5.0250,0.9000,0.9000
6.3100,4.9750,0.9000,0.9000
6.3600,4.9250,0.8500,0.8500
6.3600,4.8750,0.8500,0.8500
6.3600,4.8750,0.8500,0.8500
6.3600,4.8250,0.8500,0.8500
6.3600,4.7750,0.8500,0.8500
6.3600,4.7250,0.8500,0.8500
6.3600,4.6750,0.8500,0.8500
6.4100,4.6250,0.8000,0.8000
6.4100,4.5750,0.8000,0.8000
6.4100,4.5250,0.8000,0.8000
6.4100,4.4750,0.8000,0.8000
6.4100,4.4250,0.8000,0.8000
6.4100,4.3750,0.8000,0.8000
6.4100,4.3250,0.8000,0.8000
6.4100,4.2750,0.8000,0.8000
6.4100,4.2250,0.8000,0.8000
6.4100,4.1750,0.8000,0.8000
6.4100,4.1250,0.8000,0.8000
6.4100,4.0750,0.8000,0.8000
6.4100,4.0250,0.8000,0.8000
6.4100,3.9750,0.8000,0.8000
6.4100,3.9250,0.8000,0.8000
6.4100,3.8750,0.8000,0.8000
6.4100,3.8250,0.8000,0.8000
6.4100,3.7750,0.8000,0.8000
6.4100,3.7250,0.8000,0.8000
6.4100,3.6750,0.8000,0.8000
6.4100,3.6250,0.8000,0.8000
6.4100,3.5750,0.8000,0.8000
6.4100,3.5250,0.8000,0.8000
6.4100,3.4750,0.8000,0.8000
6.4100,3.4250,0.8000,0.8000
6.4100,3.3750,0.8000,0.8000
6.4100,3.3250,0.8000,0.8000
6.4100,3.2750,0.8000,0.8000
6.4100,3.2250,0.8000,0.8000
6.4100,3.1750,0.8000,0.8000
6.4100,3.1250,0.8000,0.8000
6.4100,3.0750,0.8000,0.8000
6.4100,3.0250,0.8000,0.8000
6.4100,2.9750,0.8000,0.8000
6.4100,2.9250,0.8000,0.8000
6.4100,2.8750,0.8000,0.8000
6.4100,2.8250,0.8000,0.8000
6.4100,2.7750,0.8000,0.8000
6.4100,2.7250,0.8000,0.8000
6.4100,2.6750,0.8000,0.8000
6.4100,2.6250,0.8000,0.8000
6.4100,2.5750,0.8000,0.8000
6.4100,2.5250,0.8000,0.8000
6.4100,2.4750,0.8000,0.8000
6.4100,2.4250,0.8000,0.8000
6.4100,2.3750,0.8000,0.8000
6.4100,2.3250,0.8000,0.8000
6.4100,2.2750,0.7566,0.7566
6.4100,2.2250,0.7071,0.7071
6.4100,2.1750,0.6576,0.6576
6.4100,2.1250,0.6083,0.6083
6.4100,2.0750,0.5590,0.5590
6.4100,2.0250,0.5099,0.5099
6.4100,1.9750,0.4610,0.4610
