x,y,curvature
241,14,0.35355339059327373
240,15,1.0
241,16,0.2683281572999747
242,16,1.0
240,16,0.1111111111111111
239,16,0.4472135954999579
238,17,0.08838834764831843
237,18,0.0
236,19,0.0
235,20,0.0
234,21,0.0
233,22,0.08838834764831843
232,23,0.35777087639996635
232,24,0.5
232,25,0.17888543819998318
233,26,0.17888543819998318
233,27,0.25
233,28,0.25
233,29,0.35777087639996635
234,30,0.08838834764831843
235,31,0.0
236,32,0.0
237,33,0.0
238,34,0.0
239,35,0.0
240,36,0.08838834764831843
241,37,0.17888543819998318
241,38,0.0
242,39,0.17888543819998318
242,40,0.25
242,41,0.0
242,42,0.0
242,43,0.0
242,44,0.0
242,45,0.0
242,46,0.0
242,47,0.0
242,48,0.0
242,49,0.0
242,50,0.0
242,51,0.0
242,52,0.0
242,53,0.25
242,54,0.35777087639996635
241,55,0.08838834764831843
240,56,0.0
239,57,0.0
238,58,0.0
237,59,0.0
236,60,0.08838834764831843
235,61,0.35777087639996635
235,62,0.25
235,63,0.0
235,64,0.0
235,65,0.0
235,66,0.0
235,67,0.0
235,68,0.0
235,69,0.0
235,70,0.0
235,71,0.0
235,72,0.0
235,73,0.0
235,74,0.0
235,75,0.0
235,76,0.0
235,77,0.0
235,78,0.0
235,79,0.0
235,80,0.0
235,81,0.0
235,82,0.0
235,83,0.0
235,84,0.0
235,85,0.0
235,86,0.0
235,87,0.0
235,88,0.0
235,89,0.0
235,90,0.0
235,91,0.0
235,92,0.0
235,93,0.0
235,94,0.0
235,95,0.0
235,96,0.0
235,97,0.0
235,98,0.0
235,99,0.0
235,100,0.0
235,101,0.0
235,102,0.0
235,103,0.0
235,104,0.0
235,105,0.0
235,106,0.0
235,107,0.0
235,108,0.0
235,109,0.0
235,110,0.0
235,111,0.0
235,112,0.0
235,113,0.0
235,114,0.25
235,115,0.17888543819998318
234,116,0.0
234,117,0.0
233,118,0.35777087639996635
233,119,0.17888543819998318
234,120,3.0
232,119,0.03162277660168379
231,119,0.25
230,119,0.0
229,119,0.0
228,119,0.0
227,119,0.0
226,119,0.0
225,119,0.0
224,119,0.0
223,119,0.0
222,119,0.0
221,119,0.0
220,119,0.25
219,119,0.35777087639996635
218,120,0.08838834764831843
217,121,0.0
216,122,0.0
215,123,0.0
214,124,0.0
213,125,0.0
212,126,0.08838834764831843
211,127,0.35777087639996635
210,127,0.25
209,127,0.0
208,127,0.0
207,127,0.0
206,127,0.0
205,127,0.0
204,127,0.0
203,127,0.0
202,127,0.0
201,127,0.0
200,127,0.0
199,127,0.0
198,127,0.25
197,127,0.17888543819998318
196,128,0.17888543819998318
195,128,0.5
194,128,0.35777087639996635
193,127,0.17677669529663687
192,126,0.35777087639996635
192,125,0.25
192,124,0.25
192,123,0.17888543819998318
191,122,0.17888543819998318
191,121,0.25
191,120,0.0
191,119,0.0
191,118,0.0
191,117,0.0
191,116,0.0
191,115,0.0
191,114,0.0
191,113,0.0
191,112,0.0
191,111,0.0
191,110,0.0
191,109,0.0
191,108,0.0
191,107,0.25
191,106,0.35777087639996635
192,105,0.08838834764831843
193,104,0.08838834764831843
194,103,0.5366563145999494
195,103,0.35777087639996635
