s_m,x_m,y_m
0.000000,216.012353,5.192246
3.004555,218.039038,7.410314
6.009110,220.066114,9.628019
9.013666,222.092871,11.846036
12.018221,224.119473,14.064196
15.022776,226.146247,16.282181
18.027331,228.173433,18.499782
21.031886,230.200554,20.717447
24.036442,232.227296,22.935479
27.040997,234.253978,25.153565
30.045552,236.280616,27.371670
33.050107,238.307769,29.589303
36.054663,240.335634,31.806288
39.059218,242.363538,34.023225
42.063773,244.391604,36.240020
45.068328,246.421327,38.455299
48.072883,248.453224,40.668587
51.077439,250.486867,42.880270
54.081994,252.522035,45.090549
57.086549,254.558867,47.299295
60.091104,256.597628,49.506255
63.095659,258.638168,51.711597
66.100215,260.679743,53.915961
69.104770,262.722844,56.118931
72.109325,264.766517,58.321373
75.113880,266.808623,60.525266
78.118435,268.848790,62.730932
81.122991,270.888860,64.936710
84.127546,272.929131,67.142304
87.132101,274.969202,69.348083
90.136656,277.009978,71.553208
93.141211,279.052362,73.756817
96.145767,281.096573,75.958749
99.150322,283.144521,78.157194
102.154877,285.198121,80.350354
105.159432,287.257837,82.537775
108.163988,289.324156,84.718984
111.168543,291.398144,86.892902
114.173098,293.481567,89.057746
117.177653,295.575650,91.212290
120.182208,297.681571,93.355288
123.186764,299.800953,95.484940
126.191319,301.934583,97.600348
129.195874,304.081741,99.701991
132.200429,306.243076,101.789067
135.204984,308.420520,103.859248
138.209540,310.613817,105.912687
141.214095,312.822144,107.949968
144.218650,315.044497,109.971956
147.223205,317.280078,111.979300
150.227760,319.529960,113.970561
153.232316,321.795014,115.944579
156.236871,324.074194,117.902292
159.241426,326.365923,119.845283
162.245981,328.670109,121.773484
165.250537,330.986491,123.687015
168.255092,333.314298,125.586648
171.259647,335.653426,127.472321
174.264202,338.003746,129.343986
177.268757,340.365232,131.201504
180.273313,342.737400,133.045383
183.277868,345.120090,134.875644
186.282423,347.513841,136.691356
189.286978,349.919133,138.491842
192.291533,352.334223,140.279120
195.296089,354.758793,142.053585
198.300644,357.193941,143.813481
201.305199,359.639840,145.558435
204.309754,362.095932,147.288903
207.314309,364.561874,149.005436
210.318865,367.037068,150.708493
213.323420,369.522361,152.396815
216.327975,372.018997,154.068337
219.332530,374.526980,155.722741
222.337086,377.046285,157.359919
225.341641,379.577393,158.978802
228.346196,382.121118,160.577732
231.350751,384.677202,162.156850
234.355306,387.244245,163.718132
237.359862,389.821323,165.262768
240.364417,392.407955,166.791336
243.368972,395.002956,168.305612
246.373527,397.605370,169.807169
249.378082,400.213431,171.298903
252.382638,402.825961,172.782791
255.387193,405.442922,174.258883
258.391748,408.063695,175.728188
261.396303,410.687185,177.192603
264.400858,413.311988,178.654594
267.405414,415.937134,180.115959
270.409969,418.562772,181.576546
273.414524,421.189514,183.035131
276.419079,423.817556,184.491341
279.423634,426.445752,185.947328
282.428190,429.073542,187.404050
285.432745,431.701506,188.860381
288.437300,434.329962,190.315864
291.441855,436.957924,191.772141
294.446411,439.586071,193.228115
297.450966,442.215361,194.682016
300.455521,444.845475,196.134528
303.460076,447.475699,197.586690
306.464631,450.105314,199.040018
309.469187,452.733073,200.496705
312.473742,455.358006,201.958519
315.478297,457.979952,203.425693
318.482852,460.598774,204.898454
321.487407,463.214251,206.377176
324.491963,465.824249,207.865527
327.496518,468.426712,209.367014
330.501073,471.020693,210.883069
333.505628,473.606197,212.413591
336.510183,476.182759,213.959093
339.514739,478.748894,215.521834
342.519294,481.303589,217.103185
345.523849,483.847409,218.701987
348.528404,486.381262,220.316541
351.532960,488.905647,221.945848
354.537515,491.422054,223.587424
357.542070,493.931777,225.239268
360.546625,496.434792,226.901262
363.551180,498.931140,228.573224
366.555736,501.421495,230.254135
369.560291,503.905945,231.943738
372.564846,506.383937,233.642746
375.569401,508.853889,235.353497
378.573956,511.312478,237.080530
381.578512,513.753553,238.832226
384.583067,516.169631,240.618300
387.587622,518.549790,242.451756
390.592177,520.876708,244.352307
393.596732,523.126449,246.343458
396.601288,525.268447,248.449943
399.605843,527.261241,250.697560
402.610398,529.047135,253.112432
405.614953,530.547323,255.714032
408.619508,531.661301,258.501883
411.624064,532.272129,261.439502
414.628619,532.277762,264.437293
417.633174,531.632473,267.362566
420.637729,530.379226,270.084625
423.642285,528.630210,272.521521
426.646840,526.517668,274.654800
429.651395,524.155849,276.510312
432.655950,521.628019,278.133196
435.660505,518.989540,279.569644
438.665061,516.274606,280.856212
441.669616,513.505537,282.021813
444.674171,510.697155,283.089388
447.678726,507.858886,284.074634
450.683281,504.996917,284.989078
453.687837,502.114827,285.837718
456.692392,499.214750,286.622882
459.696947,496.299608,287.350064
462.701502,493.371914,288.025128
465.706057,490.433674,288.652767
468.710613,487.486281,289.235896
471.715168,484.530688,289.775929
474.719723,481.568149,290.276322
477.724278,478.600035,290.742714
480.728834,475.627032,291.176710
483.733389,472.649598,291.579256
486.737944,469.668267,291.951828
489.742499,466.683330,292.294363
492.747054,463.694853,292.604392
495.751610,460.702991,292.880145
498.756165,457.708320,293.122615
501.760720,454.711145,293.331653
504.765275,451.711726,293.506550
507.769830,448.710536,293.648188
510.774386,445.707965,293.756240
